country,nuts_3,cases,datetime
CZ,Moravskoslezský kraj,290,2020-03-29T22:30:00
CZ,Středočeský kraj,363,2020-03-29T22:30:00
CZ,Hlavní město Praha,752,2020-03-29T22:30:00
CZ,Liberecký kraj,70,2020-03-30T00:30:00
CZ,Pardubický kraj,75,2020-03-30T00:30:00
CZ,Jihočeský kraj,86,2020-03-30T00:30:00
CZ,Královéhradecký kraj,86,2020-03-30T00:30:00
CZ,Karlovarský kraj,94,2020-03-30T00:30:00
CZ,Kraj Vysočina,102,2020-03-30T00:30:00
CZ,Nezjištěno,108,2020-03-30T00:30:00
CZ,Ústecký kraj,111,2020-03-30T00:30:00
CZ,Plzeňský kraj,118,2020-03-30T00:30:00
CZ,Zlínský kraj,128,2020-03-30T00:30:00
CZ,Jihomoravský kraj,172,2020-03-30T00:30:00
CZ,Olomoucký kraj,262,2020-03-30T00:30:00
CZ,Moravskoslezský kraj,290,2020-03-30T00:30:00
CZ,Středočeský kraj,363,2020-03-30T00:30:00
CZ,Hlavní město Praha,752,2020-03-30T00:30:00
CZ,Pardubický kraj,75,2020-03-30T08:25:00
CZ,Liberecký kraj,78,2020-03-30T08:25:00
CZ,Jihočeský kraj,86,2020-03-30T08:25:00
CZ,Královéhradecký kraj,87,2020-03-30T08:25:00
CZ,Nezjištěno,88,2020-03-30T08:25:00
CZ,Karlovarský kraj,98,2020-03-30T08:25:00
CZ,Kraj Vysočina,102,2020-03-30T08:25:00
CZ,Ústecký kraj,112,2020-03-30T08:25:00
CZ,Plzeňský kraj,118,2020-03-30T08:25:00
CZ,Zlínský kraj,128,2020-03-30T08:25:00
CZ,Jihomoravský kraj,172,2020-03-30T08:25:00
CZ,Olomoucký kraj,262,2020-03-30T08:25:00
CZ,Moravskoslezský kraj,290,2020-03-30T08:25:00
CZ,Středočeský kraj,365,2020-03-30T08:25:00
CZ,Hlavní město Praha,776,2020-03-30T08:25:00
CZ,Pardubický kraj,75,2020-03-30T10:30:00
CZ,Liberecký kraj,78,2020-03-30T10:30:00
CZ,Jihočeský kraj,86,2020-03-30T10:30:00
CZ,Královéhradecký kraj,87,2020-03-30T10:30:00
CZ,Karlovarský kraj,98,2020-03-30T10:30:00
CZ,Kraj Vysočina,102,2020-03-30T10:30:00
CZ,Nezjištěno,109,2020-03-30T10:30:00
CZ,Ústecký kraj,112,2020-03-30T10:30:00
CZ,Plzeňský kraj,118,2020-03-30T10:30:00
CZ,Zlínský kraj,128,2020-03-30T10:30:00
CZ,Jihomoravský kraj,172,2020-03-30T10:30:00
CZ,Olomoucký kraj,262,2020-03-30T10:30:00
CZ,Moravskoslezský kraj,289,2020-03-30T10:30:00
CZ,Středočeský kraj,367,2020-03-30T10:30:00
CZ,Hlavní město Praha,776,2020-03-30T10:30:00
CZ,Pardubický kraj,77,2020-03-30T12:25:00
CZ,Nezjištěno,83,2020-03-30T12:25:00
CZ,Jihočeský kraj,86,2020-03-30T12:25:00
CZ,Královéhradecký kraj,87,2020-03-30T12:25:00
CZ,Liberecký kraj,88,2020-03-30T12:25:00
CZ,Karlovarský kraj,99,2020-03-30T12:25:00
CZ,Kraj Vysočina,102,2020-03-30T12:25:00
CZ,Plzeňský kraj,119,2020-03-30T12:25:00
CZ,Ústecký kraj,124,2020-03-30T12:25:00
CZ,Zlínský kraj,128,2020-03-30T12:25:00
CZ,Jihomoravský kraj,170,2020-03-30T12:25:00
CZ,Olomoucký kraj,263,2020-03-30T12:25:00
CZ,Moravskoslezský kraj,290,2020-03-30T12:25:00
CZ,Středočeský kraj,372,2020-03-30T12:25:00
CZ,Hlavní město Praha,778,2020-03-30T12:25:00
CZ,Pardubický kraj,77,2020-03-30T14:30:00
CZ,Nezjištěno,84,2020-03-30T14:30:00
CZ,Jihočeský kraj,86,2020-03-30T14:30:00
CZ,Královéhradecký kraj,87,2020-03-30T14:30:00
CZ,Liberecký kraj,89,2020-03-30T14:30:00
CZ,Karlovarský kraj,99,2020-03-30T14:30:00
CZ,Kraj Vysočina,102,2020-03-30T14:30:00
CZ,Plzeňský kraj,119,2020-03-30T14:30:00
CZ,Ústecký kraj,124,2020-03-30T14:30:00
CZ,Zlínský kraj,128,2020-03-30T14:30:00
CZ,Jihomoravský kraj,168,2020-03-30T14:30:00
CZ,Olomoucký kraj,266,2020-03-30T14:30:00
CZ,Moravskoslezský kraj,290,2020-03-30T14:30:00
CZ,Středočeský kraj,377,2020-03-30T14:30:00
CZ,Hlavní město Praha,782,2020-03-30T14:30:00
CZ,Pardubický kraj,75,2020-03-30T16:25:00
CZ,Nezjištěno,84,2020-03-30T16:25:00
CZ,Královéhradecký kraj,87,2020-03-30T16:25:00
CZ,Jihočeský kraj,88,2020-03-30T16:25:00
CZ,Liberecký kraj,89,2020-03-30T16:25:00
CZ,Karlovarský kraj,99,2020-03-30T16:25:00
CZ,Kraj Vysočina,102,2020-03-30T16:25:00
CZ,Plzeňský kraj,120,2020-03-30T16:25:00
CZ,Zlínský kraj,128,2020-03-30T16:25:00
CZ,Ústecký kraj,129,2020-03-30T16:25:00
CZ,Jihomoravský kraj,168,2020-03-30T16:25:00
CZ,Olomoucký kraj,271,2020-03-30T16:25:00
CZ,Moravskoslezský kraj,292,2020-03-30T16:25:00
CZ,Středočeský kraj,381,2020-03-30T16:25:00
CZ,Hlavní město Praha,783,2020-03-30T16:25:00
CZ,Pardubický kraj,78,2020-03-30T18:30:00
CZ,Královéhradecký kraj,87,2020-03-30T18:30:00
CZ,Jihočeský kraj,88,2020-03-30T18:30:00
CZ,Liberecký kraj,90,2020-03-30T18:30:00
CZ,Nezjištěno,91,2020-03-30T18:30:00
CZ,Karlovarský kraj,100,2020-03-30T18:30:00
CZ,Kraj Vysočina,103,2020-03-30T18:30:00
CZ,Plzeňský kraj,121,2020-03-30T18:30:00
CZ,Zlínský kraj,129,2020-03-30T18:30:00
CZ,Ústecký kraj,139,2020-03-30T18:30:00
CZ,Jihomoravský kraj,175,2020-03-30T18:30:00
CZ,Olomoucký kraj,273,2020-03-30T18:30:00
CZ,Moravskoslezský kraj,293,2020-03-30T18:30:00
