country,lau,cases,datetime
IE,Leitrim,453.0,2020-04-17T00:00:00
IE,Roscommon,543.0,2020-04-17T00:00:00
IE,Wexford,694.0,2020-04-17T00:00:00
IE,Longford,720.0,2020-04-17T00:00:00
IE,Sligo,749.0,2020-04-17T00:00:00
IE,Laois,1074.0,2020-04-17T00:00:00
IE,Waterford,1261.0,2020-04-17T00:00:00
IE,Monaghan,1317.0,2020-04-17T00:00:00
IE,Clare,1547.0,2020-04-17T00:00:00
IE,Offaly,1819.0,2020-04-17T00:00:00
IE,Kilkenny,1931.0,2020-04-17T00:00:00
IE,Mayo,2580.0,2020-04-17T00:00:00
IE,Louth,2628.0,2020-04-17T00:00:00
IE,Cavan,2777.0,2020-04-17T00:00:00
IE,Kerry,2824.0,2020-04-17T00:00:00
IE,Donegal,2966.0,2020-04-17T00:00:00
IE,Tipperary,3048.0,2020-04-17T00:00:00
IE,Galway,3189.0,2020-04-17T00:00:00
IE,Westmeath,3194.0,2020-04-17T00:00:00
IE,Limerick,3579.0,2020-04-17T00:00:00
IE,Meath,3929.0,2020-04-17T00:00:00
IE,Wicklow,4102.0,2020-04-17T00:00:00
IE,Kildare,5361.0,2020-04-17T00:00:00
IE,Cork,10616.0,2020-04-17T00:00:00
IE,Dublin,73164.0,2020-04-17T00:00:00
IE,Leitrim,499.0,2020-04-18T00:00:00
IE,Carlow,504.0,2020-04-18T00:00:00
IE,Roscommon,617.0,2020-04-18T00:00:00
IE,Wexford,779.0,2020-04-18T00:00:00
IE,Longford,803.0,2020-04-18T00:00:00
IE,Sligo,819.0,2020-04-18T00:00:00
IE,Laois,1221.0,2020-04-18T00:00:00
IE,Waterford,1371.0,2020-04-18T00:00:00
IE,Monaghan,1487.0,2020-04-18T00:00:00
IE,Clare,1698.0,2020-04-18T00:00:00
IE,Offaly,1996.0,2020-04-18T00:00:00
IE,Kilkenny,2119.0,2020-04-18T00:00:00
IE,Mayo,2853.0,2020-04-18T00:00:00
IE,Louth,3034.0,2020-04-18T00:00:00
IE,Kerry,3080.0,2020-04-18T00:00:00
IE,Cavan,3130.0,2020-04-18T00:00:00
IE,Tipperary,3331.0,2020-04-18T00:00:00
IE,Donegal,3335.0,2020-04-18T00:00:00
IE,Galway,3462.0,2020-04-18T00:00:00
IE,Westmeath,3526.0,2020-04-18T00:00:00
IE,Limerick,3961.0,2020-04-18T00:00:00
IE,Meath,4390.0,2020-04-18T00:00:00
IE,Wicklow,4493.0,2020-04-18T00:00:00
IE,Kildare,6045.0,2020-04-18T00:00:00
IE,Cork,11595.0,2020-04-18T00:00:00
IE,Dublin,80098.0,2020-04-18T00:00:00
IE,Leitrim,546.0,2020-04-19T00:00:00
IE,Carlow,575.0,2020-04-19T00:00:00
IE,Roscommon,693.0,2020-04-19T00:00:00
IE,Wexford,877.0,2020-04-19T00:00:00
IE,Longford,891.0,2020-04-19T00:00:00
IE,Sligo,895.0,2020-04-19T00:00:00
IE,Laois,1389.0,2020-04-19T00:00:00
IE,Waterford,1483.0,2020-04-19T00:00:00
IE,Monaghan,1661.0,2020-04-19T00:00:00
IE,Clare,1851.0,2020-04-19T00:00:00
IE,Offaly,2183.0,2020-04-19T00:00:00
IE,Kilkenny,2316.0,2020-04-19T00:00:00
