country,nuts_2,nuts_3,lau,cases,population,datetime
PT,Centro,VISEU,TONDELA,235,26357,2021-01-09T00:00:00
PT,Alentejo,ÉVORA,BORBA,238,6736,2021-01-09T00:00:00
PT,Norte,VISEU,SÃO JOÃO DA PESQUEIRA,239,7125,2021-01-09T00:00:00
PT,Algarve,FARO,LOULÉ,247,68697,2021-01-09T00:00:00
PT,Norte,VIANA DO CASTELO,VALENÇA,248,13290,2021-01-09T00:00:00
PT,Centro,VISEU,OLIVEIRA DE FRADES,252,9936,2021-01-09T00:00:00
PT,Centro,VISEU,PENALVA DO CASTELO,253,7115,2021-01-09T00:00:00
PT,Centro,CASTELO BRANCO,FUNDÃO,260,26495,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,ENTRONCAMENTO,260,21558,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LEIRIA,ALCOBAÇA,263,53555,2021-01-09T00:00:00
PT,Algarve,FARO,SILVES,265,36226,2021-01-09T00:00:00
PT,Norte,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,269,8910,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,CONSTÂNCIA,273,4030,2021-01-09T00:00:00
PT,Madeira,MADEIRA,CÂMARA DE LOBOS,273,33675,2021-01-09T00:00:00
PT,Norte,BRAGA,CABECEIRAS DE BASTO,275,15628,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,ALCANENA,281,12809,2021-01-09T00:00:00
PT,Centro,GUARDA,MÊDA,283,4587,2021-01-09T00:00:00
PT,Açores,AÇORES,RIBEIRA GRANDE,283,32811,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,OURÉM,284,44044,2021-01-09T00:00:00
PT,Algarve,FARO,ALBUFEIRA,284,41528,2021-01-09T00:00:00
PT,Algarve,FARO,VILA REAL DE SANTO ANTÓNIO,288,18749,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LISBOA,MAFRA,291,84816,2021-01-09T00:00:00
PT,Centro,VISEU,CARREGAL DO SAL,291,9271,2021-01-09T00:00:00
PT,Alentejo,SETÚBAL,ALCÁCER DO SAL,292,11659,2021-01-09T00:00:00
PT,Centro,AVEIRO,AVEIRO,297,78734,2021-01-09T00:00:00
PT,Centro,CASTELO BRANCO,VILA DE REI,301,3323,2021-01-09T00:00:00
PT,Norte,VILA REAL,MONDIM DE BASTO,302,6946,2021-01-09T00:00:00
PT,Centro,VISEU,SÁTÃO,302,11580,2021-01-09T00:00:00
PT,Centro,LEIRIA,ALVAIÁZERE,303,6597,2021-01-09T00:00:00
PT,Centro,COIMBRA,PENACOVA,307,13694,2021-01-09T00:00:00
PT,Alentejo,ÉVORA,PORTEL,309,5828,2021-01-09T00:00:00
PT,Norte,VILA REAL,MURÇA,311,5463,2021-01-09T00:00:00
PT,Norte,VISEU,CINFÃES,312,18244,2021-01-09T00:00:00
PT,Algarve,FARO,FARO,313,61015,2021-01-09T00:00:00
PT,Centro,COIMBRA,PENELA,315,5397,2021-01-09T00:00:00
PT,Madeira,MADEIRA,MACHICO,315,19981,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LISBOA,CASCAIS,316,213608,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LISBOA,SINTRA,317,391402,2021-01-09T00:00:00
PT,Norte,BRAGA,VIZELA,318,23897,2021-01-09T00:00:00
PT,Algarve,FARO,TAVIRA,318,24530,2021-01-09T00:00:00
PT,Norte,PORTO,LOUSADA,319,46755,2021-01-09T00:00:00
PT,Centro,CASTELO BRANCO,OLEIROS,320,5003,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,BENAVENTE,320,30602,2021-01-09T00:00:00
PT,Norte,VILA REAL,ALIJÓ,320,10625,2021-01-09T00:00:00
PT,Centro,COIMBRA,LOUSÃ,321,17158,2021-01-09T00:00:00
PT,Centro,GUARDA,GOUVEIA,323,12387,2021-01-09T00:00:00
PT,Centro,LEIRIA,POMBAL,323,51461,2021-01-09T00:00:00
PT,Alentejo,ÉVORA,MONTEMOR-O-NOVO,326,15647,2021-01-09T00:00:00
PT,Centro,LEIRIA,BATALHA,326,15963,2021-01-09T00:00:00
PT,Centro,CASTELO BRANCO,COVILHÃ,327,46787,2021-01-09T00:00:00
PT,Alentejo,SETÚBAL,GRÂNDOLA,328,14639,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,SALVATERRA DE MAGOS,329,21295,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LISBOA,LOURINHÃ,329,25855,2021-01-09T00:00:00
PT,Centro,LEIRIA,MARINHA GRANDE,330,38508,2021-01-09T00:00:00
PT,Centro,VISEU,VOUZELA,333,9619,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LISBOA,TORRES VEDRAS,334,78530,2021-01-09T00:00:00
PT,Centro,COIMBRA,ARGANIL,336,11014,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SETÚBAL,PALMELA,338,64269,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LISBOA,VILA FRANCA DE XIRA,339,141957,2021-01-09T00:00:00
