country,lau,cases,population,datetime
PT,MIRA,17,11832,2021-09-29T00:00:00
PT,MARCO DE CANAVESES,18,51496,2021-09-29T00:00:00
PT,CARRAZEDA DE ANSIÃES,18,5666,2021-09-29T00:00:00
PT,MURTOSA,19,10279,2021-09-29T00:00:00
PT,PENAMACOR,21,4755,2021-09-29T00:00:00
PT,SANTA CRUZ DA GRACIOSA,24,4208,2021-09-29T00:00:00
PT,MOGADOURO,24,8392,2021-09-29T00:00:00
PT,GOUVEIA,24,12387,2021-09-29T00:00:00
PT,AVIS,24,4247,2021-09-29T00:00:00
PT,MORA,25,4138,2021-09-29T00:00:00
PT,IDANHA-A-NOVA,25,8043,2021-09-29T00:00:00
PT,ALCOCHETE,25,19787,2021-09-29T00:00:00
PT,VILA FRANCA DO CAMPO,27,11051,2021-09-29T00:00:00
PT,SARDOAL,27,3741,2021-09-29T00:00:00
PT,PROENÇA-A-NOVA,28,7298,2021-09-29T00:00:00
PT,SABUGAL,29,10585,2021-09-29T00:00:00
PT,SÃO ROQUE DO PICO,31,3266,2021-09-29T00:00:00
PT,MOIMENTA DA BEIRA,31,9736,2021-09-29T00:00:00
PT,MIRANDA DO CORVO,31,12708,2021-09-29T00:00:00
PT,TERRAS DE BOURO,32,6361,2021-09-29T00:00:00
PT,REDONDO,32,6353,2021-09-29T00:00:00
PT,CARREGAL DO SAL,32,9271,2021-09-29T00:00:00
PT,CASTELO DE PAIVA,33,15454,2021-09-29T00:00:00
PT,ESPINHO,34,29516,2021-09-29T00:00:00
PT,ABRANTES,34,35130,2021-09-29T00:00:00
PT,PONTA DO SOL,35,8593,2021-09-29T00:00:00
PT,ARRONCHES,36,2820,2021-09-29T00:00:00
PT,ALJEZUR,36,5594,2021-09-29T00:00:00
PT,MURÇA,37,5463,2021-09-29T00:00:00
PT,PORTALEGRE,37,22172,2021-09-29T00:00:00
PT,SERNANCELHE,37,5396,2021-09-29T00:00:00
PT,VILA DA PRAIA DA VITÓRIA,38,21317,2021-09-29T00:00:00
PT,VAGOS,39,22740,2021-09-29T00:00:00
PT,PENEDONO,39,2591,2021-09-29T00:00:00
PT,CASTANHEIRA DE PÊRA,39,2614,2021-09-29T00:00:00
PT,OLIVEIRA DE FRADES,40,9936,2021-09-29T00:00:00
PT,MOURÃO,41,2450,2021-09-29T00:00:00
PT,SANTIAGO DO CACÉM,42,28791,2021-09-29T00:00:00
PT,ALPIARÇA,43,7059,2021-09-29T00:00:00
PT,SEVER DO VOUGA,44,11331,2021-09-29T00:00:00
PT,CHAMUSCA,44,9197,2021-09-29T00:00:00
PT,CASTRO VERDE,44,6949,2021-09-29T00:00:00
PT,CADAVAL,44,13673,2021-09-29T00:00:00
PT,ALFÂNDEGA DA FÉ,45,4550,2021-09-29T00:00:00
PT,ALMODÔVAR,45,6725,2021-09-29T00:00:00
PT,MEALHADA,45,19914,2021-09-29T00:00:00
PT,TRANCOSO,45,8875,2021-09-29T00:00:00
PT,SOUSEL,46,4412,2021-09-29T00:00:00
PT,SANTA MARTA DE PENAGUIÃO,46,6599,2021-09-29T00:00:00
PT,CALHETA [R.A. MADEIRA],46,10867,2021-09-29T00:00:00
PT,CÂMARA DE LOBOS,48,33675,2021-09-29T00:00:00
PT,RIBEIRA BRAVA,49,12435,2021-09-29T00:00:00
PT,CONSTÂNCIA,49,4030,2021-09-29T00:00:00
PT,REGUENGOS DE MONSARAZ,50,10015,2021-09-29T00:00:00
PT,VILA FLOR,50,6044,2021-09-29T00:00:00
PT,RESENDE,50,10137,2021-09-29T00:00:00
PT,SABROSA,51,5918,2021-09-29T00:00:00
PT,RIBEIRA GRANDE,52,32811,2021-09-29T00:00:00
PT,ALMEIDA,52,5830,2021-09-29T00:00:00
PT,GÓIS,53,3805,2021-09-29T00:00:00
PT,ÍLHAVO,54,38699,2021-09-29T00:00:00
PT,BAIÃO,54,18748,2021-09-29T00:00:00
PT,ÁGUEDA,54,46075,2021-09-29T00:00:00
PT,MACEDO DE CAVALEIROS,55,14516,2021-09-29T00:00:00
PT,PESO DA RÉGUA,57,15773,2021-09-29T00:00:00
PT,AZAMBUJA,57,22716,2021-09-29T00:00:00
PT,VILA DO BISPO,58,5154,2021-09-29T00:00:00
PT,SEIA,59,22234,2021-09-29T00:00:00
