country,nuts_3,cases,cases_lower,cases_upper,datetime
UK,Peterborough,1 to 4,1,4,2020-03-05T09:00:00
UK,Barnet,1 to 4,1,4,2020-03-05T09:00:00
UK,Barnsley,1 to 4,1,4,2020-03-05T09:00:00
UK,Birmingham,1 to 4,1,4,2020-03-05T09:00:00
UK,Bolton,1 to 4,1,4,2020-03-05T09:00:00
UK,Bradford,1 to 4,1,4,2020-03-05T09:00:00
UK,Bromley,1 to 4,1,4,2020-03-05T09:00:00
UK,Bury,1 to 4,1,4,2020-03-05T09:00:00
UK,Camden,1 to 4,1,4,2020-03-05T09:00:00
UK,Cornwall,1 to 4,1,4,2020-03-05T09:00:00
UK,Derbyshire,1 to 4,1,4,2020-03-05T09:00:00
UK,Ealing,1 to 4,1,4,2020-03-05T09:00:00
UK,Essex,1 to 4,1,4,2020-03-05T09:00:00
UK,Gloucestershire,1 to 4,1,4,2020-03-05T09:00:00
UK,Hampshire,1 to 4,1,4,2020-03-05T09:00:00
UK,Somerset,1 to 4,1,4,2020-03-05T09:00:00
UK,Harrow,1 to 4,1,4,2020-03-05T09:00:00
UK,Lincolnshire,1 to 4,1,4,2020-03-05T09:00:00
UK,Kensington and Chelsea,1 to 4,1,4,2020-03-05T09:00:00
UK,Kent,1 to 4,1,4,2020-03-05T09:00:00
UK,"Kingston upon Hull, City of",1 to 4,1,4,2020-03-05T09:00:00
UK,Kingston upon Thames,1 to 4,1,4,2020-03-05T09:00:00
UK,Lancashire,1 to 4,1,4,2020-03-05T09:00:00
UK,Oxfordshire,1 to 4,1,4,2020-03-05T09:00:00
UK,Leeds,1 to 4,1,4,2020-03-05T09:00:00
UK,Lewisham,1 to 4,1,4,2020-03-05T09:00:00
UK,Hounslow,1 to 4,1,4,2020-03-05T09:00:00
UK,York,1 to 4,1,4,2020-03-05T09:00:00
UK,Merton,1 to 4,1,4,2020-03-05T09:00:00
UK,Oldham,1 to 4,1,4,2020-03-05T09:00:00
UK,Newcastle upon Tyne,1 to 4,1,4,2020-03-05T09:00:00
UK,Northamptonshire,1 to 4,1,4,2020-03-05T09:00:00
UK,Nottingham,1 to 4,1,4,2020-03-05T09:00:00
UK,Hertfordshire,5,5,5,2020-03-05T09:00:00
UK,Brighton and Hove,6,6,6,2020-03-05T09:00:00
UK,Devon,7,7,7,2020-03-05T09:00:00
UK,awaiting clarification,8,8,8,2020-03-05T09:00:00
