country,lau,cases,population,cases/100k pop.,datetime
FI,Kruunupyy,48,6420,747.663551401869,2021-08-13T11:00:00
FI,Luoto,48,5536,867.052023121387,2021-08-13T11:00:00
FI,Lapua,50,14235,351.246926589392,2021-08-13T11:00:00
FI,Virrat,51,6521,782.088636712161,2021-08-13T11:00:00
FI,Somero,52,8647,601.364635133572,2021-08-13T11:00:00
FI,Pyhtää,53,5142,1030.72734344613,2021-08-13T11:00:00
FI,Säkylä,55,6652,826.819001803969,2021-08-13T11:00:00
FI,Tammela,55,6030,912.106135986733,2021-08-13T11:00:00
FI,Pälkäne,55,6409,858.16820096739,2021-08-13T11:00:00
FI,Kiuruvesi,55,7859,699.834584552742,2021-08-13T11:00:00
FI,Laihia,56,8002,699.825043739065,2021-08-13T11:00:00
FI,Orivesi,58,9035,641.947980077476,2021-08-13T11:00:00
FI,Pukkila,59,1827,3229.33771209633,2021-08-13T11:00:00
FI,Alavus,59,11350,519.823788546256,2021-08-13T11:00:00
FI,Mänttä-Vilppula,60,9704,618.301731244847,2021-08-13T11:00:00
FI,Kuhmo,60,8051,745.24903738666,2021-08-13T11:00:00
FI,Huittinen,60,9939,603.682463024449,2021-08-13T11:00:00
FI,Maalahti,62,5458,1135.94723341883,2021-08-13T11:00:00
FI,Jomala,62,5390,1150.27829313544,2021-08-13T11:00:00
FI,Hanko,62,8058,769.421692727724,2021-08-13T11:00:00
FI,Kankaanpää,65,11172,581.811672037236,2021-08-13T11:00:00
FI,Inkoo,66,5339,1236.18655178872,2021-08-13T11:00:00
FI,Kontiolahti,67,14873,450.480736905803,2021-08-13T11:00:00
FI,Ii,68,9860,689.655172413793,2021-08-13T11:00:00
FI,Pedersören kunta,69,11177,617.339178670484,2021-08-13T11:00:00
FI,Aura,70,3964,1765.89303733602,2021-08-13T11:00:00
FI,Liminka,70,10247,683.126768810384,2021-08-13T11:00:00
FI,Kauhajoki,71,13015,545.524394928928,2021-08-13T11:00:00
FI,Hämeenkyrö,71,10352,685.857805255023,2021-08-13T11:00:00
FI,Kalajoki,71,12428,571.29063405214,2021-08-13T11:00:00
FI,Parkano,72,6361,1131.89750039302,2021-08-13T11:00:00
FI,Kauhava,73,15526,470.179054489244,2021-08-13T11:00:00
FI,Asikkala,74,8067,917.317466220404,2021-08-13T11:00:00
FI,Ylitornio,76,3889,1954.22987914631,2021-08-13T11:00:00
FI,Sodankylä,77,8271,930.963607786241,2021-08-13T11:00:00
FI,Rautalampi,78,3056,2552.35602094241,2021-08-13T11:00:00
FI,Kannus,81,5428,1492.26234340457,2021-08-13T11:00:00
FI,Uusikaarlepyy,82,7486,1095.37803900614,2021-08-13T11:00:00
FI,Taipalsaari,83,4622,1795.75941151017,2021-08-13T11:00:00
FI,Taivalkoski,83,3914,2120.59274399591,2021-08-13T11:00:00
FI,Loppi,83,7865,1055.3083280356,2021-08-13T11:00:00
FI,Karvia,85,2320,3663.79310344828,2021-08-13T11:00:00
FI,Kolari,85,3920,2168.36734693878,2021-08-13T11:00:00
FI,Kitee,86,9944,864.84312148029,2021-08-13T11:00:00
FI,Lieksa,86,10719,802.313648661256,2021-08-13T11:00:00
FI,Kemiönsaari,87,6604,1317.38340399758,2021-08-13T11:00:00
FI,Kuusamo,88,15219,578.224587686445,2021-08-13T11:00:00
FI,Mynämäki,88,7654,1149.72563365561,2021-08-13T11:00:00
FI,Varkaus,88,20301,433.476183439239,2021-08-13T11:00:00
FI,Ilmajoki,88,12302,715.330840513738,2021-08-13T11:00:00
FI,Hausjärvi,90,8191,1098.76693932365,2021-08-13T11:00:00
FI,Iisalmi,93,21132,440.090857467348,2021-08-13T11:00:00
FI,Vöyri,94,6391,1470.81833828822,2021-08-13T11:00:00
FI,Kittilä,94,6455,1456.2354763749,2021-08-13T11:00:00
FI,Kurikka,95,20476,463.957804258644,2021-08-13T11:00:00
FI,Askola,95,4887,1943.9328831594,2021-08-13T11:00:00
FI,Muurame,97,10254,945.97230349132,2021-08-13T11:00:00
FI,Siuntio,97,6143,1579.03304574312,2021-08-13T11:00:00
FI,Eurajoki,98,9449,1037.1467880199,2021-08-13T11:00:00
FI,Akaa,101,16404,615.703486954401,2021-08-13T11:00:00
FI,Pöytyä,101,8234,1226.6213262084,2021-08-13T11:00:00
FI,Pornainen,105,5075,2068.96551724138,2021-08-13T11:00:00
FI,Rusko,110,6353,1731.46544939399,2021-08-13T11:00:00
FI,Hattula,111,9404,1180.34878774989,2021-08-13T11:00:00
FI,Sotkamo,114,10331,1103.47497822089,2021-08-13T11:00:00
FI,Alajärvi,116,9439,1228.94374404068,2021-08-13T11:00:00
FI,Sastamala,120,24059,498.77384762459,2021-08-13T11:00:00
FI,Siilinjärvi,122,21268,573.631747225879,2021-08-13T11:00:00
FI,Ylivieska,132,15315,861.900097943193,2021-08-13T11:00:00
FI,Raahe,133,24377,545.596258768511,2021-08-13T11:00:00
FI,Kempele,141,18802,749.920221253058,2021-08-13T11:00:00
FI,Kemi,146,20458,713.657248997947,2021-08-13T11:00:00
FI,Jämsä,151,19904,758.641479099678,2021-08-13T11:00:00
FI,Loimaa,154,15782,975.795209732607,2021-08-13T11:00:00
FI,Parainen,155,15107,1026.01443039651,2021-08-13T11:00:00
FI,Masku,159,9546,1665.61910747957,2021-08-13T11:00:00
FI,Eura,160,11499,1391.42534133403,2021-08-13T11:00:00
FI,Forssa,167,16818,992.983707931978,2021-08-13T11:00:00
FI,Heinola,172,18526,928.424916333801,2021-08-13T11:00:00
FI,Loviisa,177,14777,1197.80740339717,2021-08-13T11:00:00
FI,Närpiö,189,9578,1973.27208185425,2021-08-13T11:00:00
FI,   Äänekoski,189,18589,1016.73032438539,2021-08-13T11:00:00
FI,Valkeakoski,191,20843,916.374802091829,2021-08-13T11:00:00
FI,Karkkila,196,8718,2248.22206928195,2021-08-13T11:00:00
FI,Laukaa,199,18832,1056.71197960918,2021-08-13T11:00:00
FI,Laitila,201,8479,2370.56256634037,2021-08-13T11:00:00
FI,Pietarsaari,204,19078,1069.29447531188,2021-08-13T11:00:00
FI,Raasepori,227,27568,823.418456181079,2021-08-13T11:00:00
FI,Mustasaari,233,19459,1197.38938280487,2021-08-13T11:00:00
FI,Orimattila,233,15886,1466.70023920433,2021-08-13T11:00:00
FI,Pieksämäki,234,17397,1345.05949301604,2021-08-13T11:00:00
FI,Janakkala,235,16276,1443.84369623986,2021-08-13T11:00:00
FI,Paimio,249,10926,2278.96760021966,2021-08-13T11:00:00
FI,Hamina,253,19951,1268.10686181144,2021-08-13T11:00:00
FI,Maarianhamina,259,11723,2209.33208223151,2021-08-13T11:00:00
FI,Imatra,261,26092,1000.30660738924,2021-08-13T11:00:00
FI,Naantali,274,19420,1410.91658084449,2021-08-13T11:00:00
FI,Uusikaupunki,278,15396,1805.6638087815,2021-08-13T11:00:00
FI,Hollola,288,23269,1237.69822510636,2021-08-13T11:00:00
FI,Pirkkala,293,19822,1478.15558470386,2021-08-13T11:00:00
FI,Kauniainen,300,10167,2950.72292711714,2021-08-13T11:00:00
FI,Mäntsälä,314,20812,1508.74495483375,2021-08-13T11:00:00
FI,Kokkola,318,47834,664.799096876699,2021-08-13T11:00:00
FI,Savonlinna,326,32695,997.094356935311,2021-08-13T11:00:00
FI,Lempäälä,327,23819,1372.8536042655,2021-08-13T11:00:00
FI,Nokia,328,34525,950.036205648081,2021-08-13T11:00:00
FI,Lieto,339,20162,1681.3808153953,2021-08-13T11:00:00
FI,Kajaani,343,36616,936.748962202316,2021-08-13T11:00:00
FI,Ylöjärvi,385,33368,1153.80004795013,2021-08-13T11:00:00
FI,Tornio,399,21478,1857.71487103082,2021-08-13T11:00:00
FI,Kangasala,401,32225,1244.37548487199,2021-08-13T11:00:00
FI,Seinäjoki,402,64205,626.11946110116,2021-08-13T11:00:00
FI,Riihimäki,456,28810,1582.7837556404,2021-08-13T11:00:00
FI,Sipoo,503,21731,2314.66568496618,2021-08-13T11:00:00
FI,Pori,506,83738,604.265685829611,2021-08-13T11:00:00
FI,Vihti,535,29169,1834.13898316706,2021-08-13T11:00:00
FI,Lohja,567,45948,1234.00365630713,2021-08-13T11:00:00
