"YEAR_WEEK","NIS5","AGEGROUP","DOSE","CUMUL"
"21W01",12007,"18-34","A","<10"
"21W01",12007,"35-44","A","<10"
"21W01",12007,"45-54","A","12"
"21W01",12007,"55-64","A","<10"
"21W01",12007,"65-74","A","<10"
"21W01",12007,"75-84","A","37"
"21W01",12007,"85+","A","103"
"21W01",12009,"55-64","A","<10"
"21W01",12014,"18-34","A","<10"
"21W01",12014,"35-44","A","<10"
"21W01",12014,"45-54","A","<10"
"21W01",12014,"55-64","A","<10"
"21W01",12014,"75-84","A","<10"
"21W01",12014,"85+","A","<10"
"21W01",12021,"18-34","A","<10"
"21W01",12021,"35-44","A","<10"
"21W01",12021,"45-54","A","<10"
"21W01",12021,"55-64","A","<10"
"21W01",12021,"65-74","A","<10"
"21W01",12021,"75-84","A","<10"
"21W01",12021,"85+","A","<10"
"21W01",12025,"18-34","A","<10"
"21W01",12025,"35-44","A","<10"
"21W01",12025,"45-54","A","<10"
"21W01",12025,"55-64","A","<10"
"21W01",12025,"65-74","A","11"
"21W01",12025,"75-84","A","27"
"21W01",12025,"85+","A","76"
"21W01",12026,"18-34","A","<10"
"21W01",12026,"35-44","A","<10"
"21W01",12026,"45-54","A","<10"
"21W01",12026,"55-64","A","<10"
"21W01",12026,"65-74","A","<10"
"21W01",12026,"75-84","A","<10"
"21W01",12026,"85+","A","<10"
"21W01",12029,"35-44","A","<10"
"21W01",12029,"45-54","A","<10"
"21W01",12029,"55-64","A","<10"
"21W01",12029,"85+","A","<10"
"21W01",12035,"18-34","A","<10"
"21W01",12035,"35-44","A","<10"
"21W01",12035,"45-54","A","<10"
"21W01",12035,"75-84","A","<10"
"21W01",12035,"85+","A","<10"
"21W01",12040,"18-34","A","<10"
"21W01",12040,"35-44","A","<10"
"21W01",12040,"45-54","A","<10"
"21W01",12040,"55-64","A","<10"
"21W01",12040,"75-84","A","<10"
"21W01",12040,"85+","A","<10"
"21W01",12041,"18-34","A","<10"
"21W01",12041,"35-44","A","<10"
"21W01",12041,"45-54","A","11"
"21W01",12041,"55-64","A","14"
"21W01",12041,"65-74","A","16"
"21W01",12041,"75-84","A","38"
"21W01",12041,"85+","A","111"
"21W01",13004,"35-44","A","<10"
"21W01",13004,"45-54","A","<10"
"21W01",13004,"55-64","A","<10"
"21W01",13004,"85+","A","<10"
"21W01",13008,"55-64","A","<10"
"21W01",13008,"65-74","A","<10"
"21W01",13008,"85+","A","<10"
"21W01",13010,"18-34","A","<10"
"21W01",13010,"35-44","A","<10"
"21W01",13010,"45-54","A","<10"
"21W01",13010,"55-64","A","<10"
