country,nuts_2,lau,cases,population,deaths,hospitalized,datetime
NL,Flevoland,Noordoostpolder,2984,,27,32,2021-04-22T10:00:00
NL,Noord-Holland,Waterland,1616,,15,33,2021-04-22T10:00:00
NL,Utrecht,Baarn,1871,,28,33,2021-04-22T10:00:00
NL,Gelderland,Bronckhorst,2673,,19,33,2021-04-22T10:00:00
NL,Gelderland,Renkum,1799,,26,33,2021-04-22T10:00:00
NL,Noord-Holland,Uithoorn,2244,,15,34,2021-04-22T10:00:00
NL,Gelderland,Lochem,1788,,29,34,2021-04-22T10:00:00
NL,Zuid-Holland,Leiderdorp,1966,,22,34,2021-04-22T10:00:00
NL,Groningen,Westerkwartier,2798,,22,34,2021-04-22T10:00:00
NL,Utrecht,Wijk bij Duurstede,1633,,13,34,2021-04-22T10:00:00
NL,Noord-Brabant,Gilze en Rijen,2216,,19,34,2021-04-22T10:00:00
NL,Overijssel,Dinkelland,2684,,35,34,2021-04-22T10:00:00
NL,Noord-Brabant,Zundert,1367,,17,35,2021-04-22T10:00:00
NL,Groningen,Westerwolde,2052,,21,35,2021-04-22T10:00:00
NL,Noord-Holland,Wormerland,1398,,33,35,2021-04-22T10:00:00
NL,Zeeland,Borsele,1227,,6,35,2021-04-22T10:00:00
NL,Zuid-Holland,Teylingen,3387,,24,35,2021-04-22T10:00:00
NL,Noord-Brabant,Bladel,2444,,26,36,2021-04-22T10:00:00
NL,Noord-Brabant,Cuijk,2233,,25,36,2021-04-22T10:00:00
NL,Noord-Holland,Aalsmeer,2631,,26,36,2021-04-22T10:00:00
NL,Utrecht,Rhenen,2139,,20,36,2021-04-22T10:00:00
NL,Gelderland,Beuningen,1963,,20,36,2021-04-22T10:00:00
NL,Noord-Holland,Bergen (NH.),2238,,36,37,2021-04-22T10:00:00
NL,Zuid-Holland,Hendrik-Ido-Ambacht,3167,,30,37,2021-04-22T10:00:00
NL,Zuid-Holland,Alblasserdam,2286,,21,37,2021-04-22T10:00:00
