country,lau,cases,population,cases/100k pop.,datetime
NL,Doesburg,3,11148,26.9,2020-03-21T14:00:00
NL,Beesel,3,13519,22.2,2020-03-21T14:00:00
NL,Zutphen,4,47609,8.4,2020-03-21T14:00:00
NL,Roerdalen,4,20615,19.4,2020-03-21T14:00:00
NL,Rijswijk,4,53467,7.5,2020-03-21T14:00:00
NL,Ridderkerk,4,46241,8.7,2020-03-21T14:00:00
NL,Middelburg,4,48544,8.2,2020-03-21T14:00:00
NL,Cuijk,4,24931,16.0,2020-03-21T14:00:00
NL,Langedijk,4,27992,14.3,2020-03-21T14:00:00
NL,Borne,4,23210,17.2,2020-03-21T14:00:00
NL,Oude IJsselstreek,4,39473,10.1,2020-03-21T14:00:00
NL,Zoetermeer,4,124944,3.2,2020-03-21T14:00:00
NL,Ommen,4,17813,22.5,2020-03-21T14:00:00
NL,Lopik,4,14473,27.6,2020-03-21T14:00:00
NL,Nijkerk,4,42943,9.3,2020-03-21T14:00:00
NL,Edam-Volendam,4,36099,11.1,2020-03-21T14:00:00
NL,Landsmeer,4,11488,34.8,2020-03-21T14:00:00
NL,Ouder-Amstel,4,13916,28.7,2020-03-21T14:00:00
NL,Zeewolde,4,22309,17.9,2020-03-21T14:00:00
NL,Blaricum,4,11202,35.7,2020-03-21T14:00:00
NL,Almelo,4,72849,5.5,2020-03-21T14:00:00
NL,West Maas en Waal,4,19076,21.0,2020-03-21T14:00:00
NL,Heeze-Leende,4,15964,25.1,2020-03-21T14:00:00
NL,Heiloo,4,23464,17.0,2020-03-21T14:00:00
NL,Waddinxveen,4,28316,14.1,2020-03-21T14:00:00
NL,Hellevoetsluis,4,40049,10.0,2020-03-21T14:00:00
NL,Voerendaal,4,12452,32.1,2020-03-21T14:00:00
NL,Valkenswaard,4,30910,12.9,2020-03-21T14:00:00
NL,Valkenburg aan de Geul,4,16470,24.3,2020-03-21T14:00:00
NL,Emmen,4,107113,3.7,2020-03-21T14:00:00
NL,Súdwest-Fryslân,4,89710,4.5,2020-03-21T14:00:00
NL,Tiel,4,41978,9.5,2020-03-21T14:00:00
NL,Hof van Twente,4,34940,11.4,2020-03-21T14:00:00
NL,Aalsmeer,5,31728,15.8,2020-03-21T14:00:00
NL,Druten,5,18797,26.6,2020-03-21T14:00:00
NL,Neder-Betuwe,5,24034,20.8,2020-03-21T14:00:00
NL,Stede Broec,5,21706,23.0,2020-03-21T14:00:00
NL,Doetinchem,5,57555,8.7,2020-03-21T14:00:00
NL,Simpelveld,5,10516,47.5,2020-03-21T14:00:00
NL,Wassenaar,5,26211,19.1,2020-03-21T14:00:00
NL,Steenbergen,5,25054,20.0,2020-03-21T14:00:00
NL,Stein,5,24961,20.0,2020-03-21T14:00:00
NL,Zaltbommel,5,28451,17.6,2020-03-21T14:00:00
NL,Terneuzen,5,54589,9.2,2020-03-21T14:00:00
NL,Asten,5,16710,29.9,2020-03-21T14:00:00
NL,Dalfsen,5,28499,17.5,2020-03-21T14:00:00
NL,Culemborg,5,28555,17.5,2020-03-21T14:00:00
NL,Someren,5,19322,25.9,2020-03-21T14:00:00
NL,Beek,5,15929,31.4,2020-03-21T14:00:00
NL,Teylingen,5,37061,13.5,2020-03-21T14:00:00
NL,Reimerswaal,5,22678,22.0,2020-03-21T14:00:00
NL,Buren,5,26568,18.8,2020-03-21T14:00:00
NL,Veere,5,21835,22.9,2020-03-21T14:00:00
NL,Harderwijk,5,47581,10.5,2020-03-21T14:00:00
NL,Heerhugowaard,5,56742,8.8,2020-03-21T14:00:00
NL,Katwijk,5,65302,7.7,2020-03-21T14:00:00
NL,Halderberge,5,30194,16.6,2020-03-21T14:00:00
NL,Gennep,5,17071,29.3,2020-03-21T14:00:00
NL,Heemskerk,5,39164,12.8,2020-03-21T14:00:00
NL,Hoogeveen,5,55662,9.0,2020-03-21T14:00:00
NL,Hilvarenbeek,5,15334,32.6,2020-03-21T14:00:00
NL,Oldebroek,6,23598,25.4,2020-03-21T14:00:00
NL,Oldenzaal,6,31840,18.8,2020-03-21T14:00:00
NL,Lingewaard,6,46475,12.9,2020-03-21T14:00:00
NL,Leusden,6,30030,20.0,2020-03-21T14:00:00
NL,Hardinxveld-Giessendam,6,18051,33.2,2020-03-21T14:00:00
NL,Enkhuizen,6,18507,32.4,2020-03-21T14:00:00
NL,Brunssum,6,28103,21.4,2020-03-21T14:00:00
NL,Bronckhorst,6,36212,16.6,2020-03-21T14:00:00
NL,Kerkrade,6,45642,13.1,2020-03-21T14:00:00
NL,Rucphen,6,22572,26.6,2020-03-21T14:00:00
NL,Grave,6,12483,48.1,2020-03-21T14:00:00
NL,Schiedam,6,77999,7.7,2020-03-21T14:00:00
NL,Boxmeer,6,29065,20.6,2020-03-21T14:00:00
NL,Vlissingen,6,44371,13.5,2020-03-21T14:00:00
NL,Zevenaar,6,43488,13.8,2020-03-21T14:00:00
NL,Bergen (NH),6,29974,20.0,2020-03-21T14:00:00
NL,Urk,6,20776,28.9,2020-03-21T14:00:00
NL,Epe,6,33145,18.1,2020-03-21T14:00:00
NL,Wijk bij Duurstede,6,23762,25.3,2020-03-21T14:00:00
NL,Woerden,6,52197,11.5,2020-03-21T14:00:00
NL,Eijsden-Margraten,6,25658,23.4,2020-03-21T14:00:00
NL,Geldrop-Mierlo,6,39595,15.2,2020-03-21T14:00:00
NL,Beverwijk,6,41176,14.6,2020-03-21T14:00:00
NL,Hollands Kroon,6,47815,12.5,2020-03-21T14:00:00
NL,Zwijndrecht,6,44639,13.4,2020-03-21T14:00:00
NL,Maasgouw,7,23716,29.5,2020-03-21T14:00:00
NL,Hilversum,7,90238,7.8,2020-03-21T14:00:00
NL,Rheden,7,43640,16.0,2020-03-21T14:00:00
NL,Eersel,7,19110,36.6,2020-03-21T14:00:00
NL,Schagen,7,46553,15.0,2020-03-21T14:00:00
NL,Zundert,7,21612,32.4,2020-03-21T14:00:00
NL,Heumen,7,16486,42.5,2020-03-21T14:00:00
NL,Tholen,7,25780,27.2,2020-03-21T14:00:00
NL,Nederweert,7,17001,41.2,2020-03-21T14:00:00
NL,Castricum,7,35772,19.6,2020-03-21T14:00:00
NL,Weert,7,49842,14.0,2020-03-21T14:00:00
NL,Alphen-Chaam,7,10149,69.0,2020-03-21T14:00:00
NL,Oegstgeest,7,24426,28.7,2020-03-21T14:00:00
NL,Bladel,7,20175,34.7,2020-03-21T14:00:00
NL,Tynaarlo,7,33698,20.8,2020-03-21T14:00:00
NL,Geertruidenberg,7,21515,32.5,2020-03-21T14:00:00
NL,Gilze en Rijen,7,26431,26.5,2020-03-21T14:00:00
NL,Utrechtse Heuvelrug,8,49515,16.2,2020-03-21T14:00:00
NL,Albrandswaard,8,25271,31.7,2020-03-21T14:00:00
NL,Barneveld,8,57971,13.8,2020-03-21T14:00:00
NL,Roosendaal,8,77032,10.4,2020-03-21T14:00:00
NL,Velsen,8,68348,11.7,2020-03-21T14:00:00
NL,Laarbeek,8,22333,35.8,2020-03-21T14:00:00
NL,Waterland,8,17315,46.2,2020-03-21T14:00:00
NL,Leeuwarden,8,123107,6.5,2020-03-21T14:00:00
NL,Hoorn,8,73004,11.0,2020-03-21T14:00:00
NL,Bloemendaal,8,23410,34.2,2020-03-21T14:00:00
NL,Son en Breugel,8,16904,47.3,2020-03-21T14:00:00
NL,Venray,8,43326,18.5,2020-03-21T14:00:00
NL,De Fryske Marren,8,51430,15.6,2020-03-21T14:00:00
NL,Nieuwegein,9,63036,14.3,2020-03-21T14:00:00
NL,Leidschendam-Voorburg,9,75425,11.9,2020-03-21T14:00:00
NL,Nunspeet,9,27481,32.7,2020-03-21T14:00:00
NL,Heerde,9,18546,48.5,2020-03-21T14:00:00
NL,Zaanstad,9,155885,5.8,2020-03-21T14:00:00
NL,Bergen op Zoom,9,66811,13.5,2020-03-21T14:00:00
NL,Veldhoven,9,45337,19.9,2020-03-21T14:00:00
NL,Vijfheerenlanden,9,55712,16.2,2020-03-21T14:00:00
NL,Krimpenerwaard,9,56048,16.1,2020-03-21T14:00:00
NL,Renkum,9,31302,28.8,2020-03-21T14:00:00
NL,Landgraaf,9,37591,23.9,2020-03-21T14:00:00
NL,Barendrecht,9,48673,18.5,2020-03-21T14:00:00
NL,Beuningen,9,25882,34.8,2020-03-21T14:00:00
