country,lau,hospitalized,population,hospitalized/100k pop.,deaths,cases,datetime
NL,Sliedrecht,2,25217.0,7.9,,,2020-04-02T17:21:00
NL,Texel,2,13573.0,14.7,,,2020-04-02T17:21:00
NL,De Wolden,2,24327.0,8.2,,,2020-04-02T17:21:00
NL,Westerveld,2,19460.0,10.3,,,2020-04-02T17:21:00
NL,Zoeterwoude,2,8611.0,23.2,,,2020-04-02T17:21:00
NL,Wassenaar,2,26214.0,7.6,,,2020-04-02T17:21:00
NL,Weststellingwerf,2,25916.0,7.7,,,2020-04-02T17:21:00
NL,Bunschoten,2,21867.0,9.1,,,2020-04-02T17:21:00
NL,Wierden,2,24440.0,8.2,,,2020-04-02T17:21:00
NL,Oost Gelre,2,29623.0,6.8,,,2020-04-02T17:21:00
NL,Woudenberg,2,13362.0,15.0,,,2020-04-02T17:21:00
NL,Beemster,2,10025.0,20.0,,,2020-04-02T17:21:00
NL,Landsmeer,3,11492.0,26.1,,,2020-04-02T17:21:00
NL,Veere,3,21885.0,13.7,,,2020-04-02T17:21:00
NL,Valkenburg aan de Geul,3,16360.0,18.3,,,2020-04-02T17:21:00
NL,Hendrik-Ido-Ambacht,3,31204.0,9.6,,,2020-04-02T17:21:00
NL,Doesburg,3,11078.0,27.1,,,2020-04-02T17:21:00
NL,Uitgeest,3,13649.0,22.0,,,2020-04-02T17:21:00
NL,Tytsjerksteradiel,3,32046.0,9.4,,,2020-04-02T17:21:00
NL,Rhenen,3,20125.0,14.9,,,2020-04-02T17:21:00
NL,Alblasserdam,3,20165.0,14.9,,,2020-04-02T17:21:00
NL,Lisse,3,22957.0,13.1,,,2020-04-02T17:21:00
NL,Lochem,3,33730.0,8.9,,,2020-04-02T17:21:00
NL,Westervoort,3,14973.0,20.0,,,2020-04-02T17:21:00
NL,Oude IJsselstreek,3,39392.0,7.6,,,2020-04-02T17:21:00
NL,Losser,3,22685.0,13.2,,,2020-04-02T17:21:00
NL,Bergen (L.),3,13085.0,22.9,,,2020-04-02T17:21:00
NL,Bloemendaal,3,23570.0,12.7,,,2020-04-02T17:21:00
NL,Midden-Delfland,3,19344.0,15.5,,,2020-04-02T17:21:00
NL,Borsele,3,22738.0,13.2,,,2020-04-02T17:21:00
NL,Oegstgeest,3,24843.0,12.1,,,2020-04-02T17:21:00
NL,Bodegraven-Reeuwijk,3,34869.0,8.6,,,2020-04-02T17:21:00
NL,Mook en Middelaar,3,7847.0,38.2,,,2020-04-02T17:21:00
NL,Rucphen,4,22873.0,17.5,,,2020-04-02T17:21:00
NL,Baarn,4,24873.0,16.1,,,2020-04-02T17:21:00
NL,Elburg,4,23161.0,17.3,,,2020-04-02T17:21:00
NL,Waadhoeke,4,46079.0,8.7,,,2020-04-02T17:21:00
NL,Reimerswaal,4,22728.0,17.6,,,2020-04-02T17:21:00
NL,Hellendoorn,4,35923.0,11.1,,,2020-04-02T17:21:00
NL,Noardeast-Fryslân,4,45251.0,8.8,,,2020-04-02T17:21:00
NL,Hillegom,4,22208.0,18.0,,,2020-04-02T17:21:00
NL,Montferland,4,36009.0,11.1,,,2020-04-02T17:21:00
NL,Hulst,4,27556.0,14.5,,,2020-04-02T17:21:00
NL,Kaag en Braassem,4,27300.0,14.7,,,2020-04-02T17:21:00
NL,Midden-Groningen,4,60804.0,6.6,,,2020-04-02T17:21:00
NL,Pekela,4,12199.0,32.8,,,2020-04-02T17:21:00
NL,Midden-Drenthe,4,33182.0,12.1,,,2020-04-02T17:21:00
NL,Ouder-Amstel,4,14029.0,28.5,,,2020-04-02T17:21:00
NL,Krimpen aan den IJssel,4,29533.0,13.5,,,2020-04-02T17:21:00
NL,Meppel,4,33902.0,11.8,,,2020-04-02T17:21:00
NL,Opsterland,4,29742.0,13.4,,,2020-04-02T17:21:00
NL,Sluis,4,23217.0,17.2,,,2020-04-02T17:21:00
NL,Oostzaan,4,9733.0,41.1,,,2020-04-02T17:21:00
NL,Het Hogeland,4,47834.0,8.4,,,2020-04-02T17:21:00
NL,Westerwolde,4,25796.0,15.5,,,2020-04-02T17:21:00
NL,Duiven,4,25124.0,15.9,,,2020-04-02T17:21:00
NL,Woensdrecht,4,21883.0,18.3,,,2020-04-02T17:21:00
NL,Diemen,4,30781.0,13.0,,,2020-04-02T17:21:00
NL,Delfzijl,4,24666.0,16.2,,,2020-04-02T17:21:00
NL,Westvoorne,4,14728.0,27.2,,,2020-04-02T17:21:00
NL,Bunnik,4,15191.0,26.3,,,2020-04-02T17:21:00
NL,Heiloo,5,23974.0,20.9,,,2020-04-02T17:21:00
NL,Brummen,5,20756.0,24.1,,,2020-04-02T17:21:00
NL,Buren,5,26742.0,18.7,,,2020-04-02T17:21:00
NL,Reusel-De Mierden,5,13110.0,38.1,,,2020-04-02T17:21:00
NL,Tynaarlo,5,33879.0,14.8,,,2020-04-02T17:21:00
NL,Brielle,5,17282.0,28.9,,,2020-04-02T17:21:00
NL,Leiderdorp,5,27059.0,18.5,,,2020-04-02T17:21:00
NL,Leusden,5,30399.0,16.4,,,2020-04-02T17:21:00
NL,Smallingerland,5,56154.0,8.9,,,2020-04-02T17:21:00
NL,Zeewolde,5,22656.0,22.1,,,2020-04-02T17:21:00
NL,Nieuwkoop,5,28809.0,17.4,,,2020-04-02T17:21:00
